,TARGET,Predictions
0,822.8645,756.201197
1,10.937327,14.1701462
2,0.681981,0.439703
3,4747.875,6411.59011
4,7.455597,7.8131388
5,2.634652,2.883619
6,17.039635,14.4855275
7,3.282,5.9920864
8,7.303522,4.1346215
9,6.438714,4.1745818
10,27.368,28.1368894
11,12.060731,11.1642832
12,12.78969,21.3308226
13,42.206272,28.1930503
14,6.583496,7.3152276
15,19.369371,21.4452048
16,10.358118,3.3212073
17,7.073583,7.9866075
18,5.359803,4.3271564
19,8.185419,9.0241795
20,48.645344,74.8877937
21,162.87926,132.129355
22,80.6305,80.894157
23,69.55407,63.5594267
24,2.089716,4.5750072
25,3.224396,4.8533774
26,0.681886,1.0158297
27,26.426647,31.2465683
28,5.153055,5.67657
29,5.998925,5.9492091
30,14.651016,13.054374
31,6.102951,4.9534021
32,11.421731,13.291282
33,28.837969,31.6902008
34,5.986288,5.8701822
35,25.56,15.0847978
36,62.47771,62.9190012
37,26.117847,19.8428304
38,0.003516,0.1671659
39,0.92751,1.4425729
40,0.175827,0.9069849
41,77.29222,76.7537055
42,2.689993,3.0871256
43,1.856419,1.8033643
44,2.436,2.2825125
45,15.703905,22.161457
46,1.161475,1.0894748
47,3.758205,4.2771559
48,23.053276,26.3324932
49,4.130391,4.176456
50,71.83135,68.1308475
51,11.262,12.8606999
52,4.222947,6.5443581
53,928.84735,822.305376
54,7.24259,5.7006523
55,48.682915,36.3243792
56,47.726757,65.2274206
57,10.787899,18.8067636
58,29.211624,23.8824319
59,6978,7627.58082
60,5.622675,5.9486959
61,30.938616,31.0106488
62,84.65855,89.4240266
63,0.846067,0.936422
64,17.280016,15.3730904
65,4.150551,3.3970695
66,70.18177,68.2993594
67,63.590206,54.2444052
68,0.805528,1.5950812
69,0.039532,0.0452409
70,32.904457,31.9286433
71,0.710965,1.3015608
72,0.386986,0.5640757
73,2134.5588,2089.74459
74,2.168502,2.1597701
75,183.36307,190.131897
76,0.672562,0.9066187
77,32.643845,23.7269262
78,77.552124,62.8687221
79,1.915694,1.6047775
80,13.662007,15.8534844
81,28.312,30.1790672
82,1.06257,1.4506264
83,7.172849,8.0314968
84,2.620203,8.2149101
85,4.642862,6.424713
86,6.599,3.2461008
87,28.291035,27.8730318
88,15.0128,63.9819007
89,25.119,25.8197028
90,19.740402,17.7110252
91,9.700969,8.0234192
92,3.258227,4.724265
93,0.1655,0.1336362
94,30.202185,35.0073716
95,10.630696,14.7454088
96,0.809863,1.1193968
97,0.806689,1.2773354
98,2.724392,4.8202827
99,14.968468,17.6211018
100,0.438565,0.6238965
101,3.28367,4.6162479
102,0.830112,2.3828014
103,54.14788,65.9794715
104,2.767239,2.5224232
105,0.087712,0.077073675
106,5.830992,5.712935
107,0.414321,0.7452348
108,0.087473,1.2571902
109,2.074248,1.7455809
110,0.257515,0.2115653
111,6.159699,7.286856
112,46.9585,70.3591354
113,5.177763,4.8507839
114,14.399002,15.0812439
115,4.364144,5.6555458
116,12.854007,13.2158617
117,1.514825,1.4853296
118,29.011806,45.6710067
119,30.077684,20.7252261
120,2.8135,1.6339161
121,91.446724,77.533483
122,-1.3875,2.7363051
123,12.00322,11.2291661
124,1.455054,0.26955535
125,2.490888,2.423604
126,639.9971,656.704648
127,0.886493,0.8692346
128,0.508643,0.1053369
129,7.211514,6.1596554
130,27.90686,34.7602832
