,company,year,quarter,IQ_PRIV,IQ_PUB,IQ_TOTAL_REV_NEXT,FORECAST
0,IQ1883585,2015.0,Q4,1,0,12.254941000000002,13.63571
1,IQ108539514,2015.0,Q4,1,0,5.055035000000004,5.5716844
2,IQ916962,2004.0,Q4,1,0,1.4624239999999986,5.4608903
3,IQ6234353,2013.0,Q4,0,1,5.657999999999987,10.31027
4,IQ2422272,2009.0,Q4,0,1,0.10214099999998894,4.18434
5,IQ1361343,2008.0,Q1,1,0,35.01051,32.15629
6,IQ28071,2009.0,Q4,0,1,327.39162999999996,289.79144
7,IQ9898268,2013.0,Q4,0,1,5.564661000000001,7.2048936
8,IQ243658312,2017.0,Q4,0,1,6.2609099999999955,4.980864
9,IQ212762,2010.0,Q4,0,1,12.08782500000001,13.443144
10,IQ36012959,2015.0,Q4,0,1,1.3794790000000035,5.0388474
11,IQ23297864,2007.0,Q4,1,0,42.931999999999974,48.52186
12,IQ382553,2017.0,Q4,0,1,10720.911,9760.312
13,IQ311686235,2016.0,Q4,0,1,317.4,508.37045
14,IQ29461593,2010.0,Q4,1,0,13.58980600000001,11.514433
15,IQ931212,2006.0,Q4,1,0,6.7797370000000114,9.242384
16,IQ5561930,2014.0,Q4,0,1,61.89703800000001,93.64841
17,IQ33063,2007.0,Q4,1,0,14.893043000000006,13.731749
18,IQ1208760,2007.0,Q4,1,0,9.160315999999995,9.221296
19,IQ137490,2016.0,Q4,0,1,2.4101980000000083,4.846007
20,IQ422292382,2017.0,Q4,0,1,1.1764829999999904,5.578978
21,IQ9560513,2014.0,Q4,0,1,39.312499999999986,34.364883
22,IQ212713,2014.0,Q4,0,1,52.12772000000001,46.42685
23,IQ7687614,2015.0,Q4,0,1,34.379493999999994,25.843267
24,IQ141948818,2015.0,Q4,1,0,3.6582950000000096,8.246305
25,IQ6461318,2008.0,Q4,0,1,7.298180000000002,9.524763
26,IQ7685249,2009.0,Q4,0,1,1.8243219999999951,4.3864884
27,IQ31234290,2011.0,Q4,0,1,7.332314999999994,11.175993
28,IQ34102506,2009.0,Q4,0,1,1.1693150000000117,4.9610276
29,IQ427318,2011.0,Q4,0,1,25.856471999999982,28.039785
30,IQ91780,2016.0,Q4,0,1,4.605405999999988,6.1049027
31,IQ3778127,2011.0,Q4,0,1,14.12299999999999,8.556105
32,IQ883218,2009.0,Q4,0,1,41.15712400000001,17.636518
33,IQ46476571,2015.0,Q4,0,1,3.766798999999992,6.919539
34,IQ47340301,2015.0,Q4,1,0,27.525870999999995,28.326094
35,IQ5631624,2008.0,Q4,0,1,7.852967000000007,12.2767315
36,IQ4481283,2016.0,Q4,0,1,2.6425000000000125,5.119078
37,IQ134680324,2014.0,Q4,0,1,1.5932239999999922,4.2083116
38,IQ30793157,2012.0,Q4,0,1,1.6477920000000097,5.307997
39,IQ10361568,2015.0,Q4,0,1,1.4616259999999954,6.5655656
40,IQ49494278,2013.0,Q4,0,1,0.03158600000000433,5.020827
41,IQ39688384,2015.0,Q4,0,1,2.3252799999999922,5.061476
42,IQ882613,2017.0,Q4,0,1,5.625,14.5662365
43,IQ21770633,2016.0,Q4,0,1,7.414490999999998,7.4388566
44,IQ779116,2015.0,Q4,0,1,0.33111900000000105,4.3726945
45,IQ216553,2017.0,Q4,1,0,4.566065000000009,8.300459
46,IQ84155935,2016.0,Q4,0,1,9.285980999999992,8.488722
47,IQ750833,2008.0,Q4,0,1,4.867671999999999,8.842314
48,IQ37413789,2009.0,Q4,1,0,16.821968,18.61305
49,IQ253288540,2013.0,Q4,1,0,117.19823999999998,49.910545
50,IQ11211822,2009.0,Q4,0,1,3.2435000000000116,5.2109056
51,IQ27546958,2014.0,Q4,0,1,2.3654999999999973,5.034926
52,IQ881892,2011.0,Q1,0,1,82.0085,76.46553
53,IQ48718610,2008.0,Q4,1,0,67.73675,63.58912
54,IQ881966,2010.0,Q4,0,1,0.30816999999998984,7.6144547
55,IQ691417,2008.0,Q4,0,1,2.080966999999987,7.3805833
56,IQ34589769,2013.0,Q4,0,1,1.1795150000000092,6.218962
57,IQ242432874,2010.0,Q4,1,0,10.886987000000005,13.453886
58,IQ207163018,2014.0,Q4,0,1,0.03857600000000616,4.432692
59,IQ23297864,2017.0,Q4,1,0,36.035,38.62114
60,IQ224927734,2015.0,Q4,1,0,18.920263000000006,19.634062
61,IQ20950715,2013.0,Q4,0,1,0.6886759999999867,4.331282
62,IQ2746044,2011.0,Q4,0,1,14.435000000000002,15.250792
63,IQ424449,2013.0,Q4,0,1,64.34286,91.66535
64,IQ530385,2012.0,Q4,1,0,1.7794059999999945,5.641173
65,IQ20849773,2009.0,Q4,0,1,2.734248000000008,6.3682084
66,IQ84606118,2016.0,Q4,1,0,9.77828199999999,10.072935
67,IQ5860866,2008.0,Q4,0,1,9.175171000000006,7.8005967
68,IQ154798,2017.0,Q4,1,0,78.716125,96.90494
69,IQ20376079,2010.0,Q4,0,1,57.162819999999996,44.715622
70,IQ664155,2009.0,Q4,0,1,44.600050000000024,88.93274
71,IQ34102981,2009.0,Q4,0,1,23.260741999999993,11.1089
72,IQ31044891,2014.0,Q4,0,1,0.2820000000000107,4.3491044
73,IQ4484339,1996.0,Q4,1,0,7.961710000000011,11.605009
74,IQ750833,2012.0,Q4,0,1,7.400250999999997,10.280745
75,IQ13609881,2009.0,Q4,1,0,4.821341999999987,7.5258927
76,IQ26868,2008.0,Q4,0,1,640.507,569.3648
77,IQ212047516,2016.0,Q4,0,1,0.1287890000000118,4.28546
78,IQ216578698,2013.0,Q4,1,0,4.763467999999989,8.876631
79,IQ24914939,2016.0,Q4,0,1,15.816914999999995,11.2147045
80,IQ108544096,2015.0,Q4,0,1,13.254379999999998,11.069883
81,IQ5545056,2011.0,Q1,1,0,40.65199999999999,48.792633
82,IQ882787,2009.0,Q4,0,1,43.590965000000025,125.706764
83,IQ34280323,2012.0,Q4,0,1,1.9769000000000005,7.531737
84,IQ8179771,2012.0,Q4,0,1,14.354093000000006,10.354261
85,IQ8121889,2008.0,Q4,0,1,18.835647999999992,20.997145
86,IQ424420,2016.0,Q4,0,1,4.193069000000008,8.797255
87,IQ8100675,2016.0,Q3,0,1,72.975266,62.831802
88,IQ11515945,2017.0,Q4,0,1,4.678696000000002,10.133421
89,IQ1170872,2015.0,Q4,0,1,0.5576159999999959,4.306166
